ID	SEX	AGE	MARST	FAMSIZE	HCOVPRIV	WKSWORK1	INCTOT
61	2	62	4	3	1	0	14400
62	1	93	5	2	2	0	22700
63	1	58	4	2	1	0	0
64	2	20	6	2	2	0	0
65	1	27	6	1	1	0	0
66	2	22	6	2	2	20	6900
67	2	20	6	3	2	0	0
68	1	39	6	2	1	0	0
69	1	24	6	1	1	4	2400
70	1	24	6	3	2	28	6500
71	1	19	6	3	2	35	7100
72	1	87	5	2	2	0	27600
73	1	41	6	1	1	0	9300
74	1	43	6	3	2	0	0
75	2	20	6	1	2	0	0
76	1	37	6	1	2	0	0
77	1	59	6	1	1	0	9300
78	1	17	6	2	1	30	9600
79	1	20	6	3	2	12	1800
80	2	61	2	3	1	52	42000
81	2	43	6	5	1	0	9300
82	2	34	3	3	1	0	0
83	2	65	4	3	1	0	5000
84	2	29	6	2	1	0	0
85	1	27	6	4	1	52	15400
86	2	74	5	2	1	0	12900
87	1	20	6	4	2	12	1800
88	2	93	2	2	1	0	5400
89	2	20	6	5	2	0	0
90	2	20	6	3	2	20	1500
91	2	64	6	2	1	0	9000
92	1	56	6	2	1	0	0
93	2	19	6	2	2	0	0
94	1	22	6	5	2	0	0
95	1	39	6	5	1	36	50000
96	1	22	6	4	2	0	0
97	2	82	6	2	1	0	9300
98	1	17	6	1	1	0	0
99	1	38	6	5	1	5	4600
100	2	19	6	2	1	20	2200
101	1	58	5	5	1	0	0
102	1	29	6	5	1	52	23000
103	2	93	4	3	1	0	30
104	1	22	6	5	2	52	25000
105	1	20	6	3	2	0	0
106	2	20	6	5	2	38	4630
107	1	35	3	5	1	0	0
108	1	23	4	5	1	0	0
109	1	34	6	1	2	52	29500
110	1	60	6	3	1	0	11000
111	2	22	6	2	2	20	6000
112	2	62	6	4	1	0	9600
113	1	70	6	3	1	0	9400
114	1	41	6	5	1	0	9300
115	1	30	6	2	1	52	19500
116	1	19	6	3	2	26	800
117	2	87	5	2	2	0	13800
118	1	26	6	4	1	21	8000
119	2	84	5	1	2	0	17600
120	1	52	3	2	1	0	2400
121	1	28	2	2	2	52	60000
122	1	30	4	5	1	0	0
123	2	93	5	1	2	0	0
124	2	24	6	8	1	12	870
125	2	19	6	1	2	0	0
126	2	75	5	5	1	0	4300
127	1	23	4	1	1	0	0
128	1	41	4	5	1	35	17500
129	1	29	6	5	1	0	0
130	1	68	2	1	2	0	18900
131	2	38	2	3	1	16	3200
132	2	20	6	1	2	52	10000
133	2	80	4	4	1	0	13800
134	1	18	6	2	2	24	4000
135	2	20	6	5	2	0	0
136	1	30	4	1	2	0	0
137	2	93	5	1	1	0	20400
138	2	66	5	5	1	0	9300
139	2	21	6	4	2	0	0
140	2	84	4	1	1	0	17300
141	2	93	5	2	1	0	14800
142	1	56	4	5	1	35	20000
143	2	34	2	1	2	0	0
144	1	60	6	1	1	0	0
145	1	31	6	4	1	0	0
146	2	20	6	4	2	52	4700
147	1	61	6	1	1	0	11100
148	1	74	2	2	1	0	7300
149	2	67	2	2	2	0	8400
150	1	37	6	4	1	0	0
151	2	43	6	1	1	0	9300
152	1	66	6	3	1	0	14000
153	2	18	6	3	2	0	0
154	1	60	6	3	1	0	0
155	1	19	6	3	2	0	800
156	1	32	6	4	1	0	0
157	1	20	6	1	2	0	0
158	2	56	6	4	1	0	9360
159	1	18	6	3	2	0	0
160	1	62	4	1	1	0	15600
161	2	18	6	4	1	52	2500
162	2	18	6	5	2	0	0
163	2	45	6	4	1	0	9400
164	1	57	3	4	1	0	9300
165	1	74	2	1	1	0	7300
166	1	40	2	1	1	48	35000
167	1	26	4	4	1	11	3200
168	1	41	6	5	1	0	12000
169	1	32	6	2	1	0	0
170	1	43	5	4	1	0	0
171	2	18	6	1	1	0	0
172	1	15	6	1	1	0	0
173	1	29	6	2	2	0	600
174	1	70	6	5	1	0	9400
175	2	34	4	5	1	52	34000
176	2	18	6	1	2	40	6010
177	1	32	6	3	1	28	7500
178	1	44	6	1	1	0	8600
179	2	63	4	2	1	0	9000
180	1	44	3	1	1	0	600
181	1	22	6	4	1	0	0
182	2	22	6	2	2	52	2000
183	2	26	6	1	1	0	0
184	2	93	5	4	1	0	4300
185	2	93	5	4	1	0	13800
186	1	55	6	4	1	0	1200
187	2	73	4	2	1	0	22600
188	1	59	4	3	1	0	4300
189	2	85	2	5	2	0	22000
190	1	19	6	1	2	12	3500
191	1	30	2	2	1	0	1500
192	2	73	2	5	1	0	4300
193	2	16	6	5	1	0	0
194	1	35	6	2	1	0	0
195	1	79	2	4	1	0	7300
196	2	71	6	3	1	0	7200
197	2	93	5	3	1	0	4300
198	2	18	6	3	2	52	3500
199	2	69	6	2	1	0	9000
200	1	34	6	2	1	0	0
